ADR|Adria Radar||ADR
ADR-W|Adria Radar (West)|ADR_W|ADR-W
ADR-E|Adria Radar (East)|ADR_E|ADR-E
AGGG|Honiara||AGGG
ANAU|Nauru||ANAU
AYPM|Port Moresby||AYPM
BGGL|Nuuk||BGGL
BIRD|Reykjavik||BIRD
BIRD|Reykjavik|BIRD_S1|BIRD
BIRD|Reykjavik|BIRD_S2|BIRD
BIRD|Reykjavik|BIRD_S3|BIRD
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E1|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E2|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E3|BIRD-E
BIRD-N|Reykjavik ACC (North) - Reykjavik|BIRD_N|BIRD-N
BIRD-S|Reykjavik ACC (South) - Reykjavik|BIRD_S|BIRD-S
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W1|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W2|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W3|BIRD-W
CZEG|Edmonton|EDM|CZEG
CZEG|Edmonton|ZEG|CZEG
CZQM|Moncton|MCN|CZQM
CZZV|Sept-Iles (CZUL SFC-280 / CZQM 290-ABV)||CZZV
CZQX|Gander|GAND|CZQX
CZQX|Gander|YQX|CZQX
CZQO|Gander Oceanic|GAN|CZQO
CZQO-GOTA|Gander Oceanic Transition Area (CZQO SFC-280 / CZQX 290-ABV)||CZQO-GOTA
CZUL|Montreal|MTL|CZUL
CZVR|Vancouver|VAN|CZVR
CZVR|Vancouver|CYVR|CZVR
CZVR|Vancouver|ZVR|CZVR
CZWG|Winnipeg|WPG|CZWG
CZWG|Winnipeg|ZWG|CZWG
CZYZ|Toronto|TOR|CZYZ
DAAA|Algiers||DAAA
DGAC|Accra||DGAC
DGAO|Accra Oceanic||DGAO
DIII|Abidjan||DIII
DNKK|Kano||DNKK
DNKK-W|Kano (West)|DNKK_W|DNKK-W
DNMM|Lagos||DNMM
DRRR|Niamey||DRRR
DTTC|Tunis||DTTC
EBBU|Brussels||EBBU
EBUR|Brussels Upper||EBBU
EDGG-BAD|Langen Radar (Baden) - Langen|EDGG_BAD|EDGG-BAD
EDGG-GIN|Langen Radar (Giessen) - Langen|EDGG_GIN|EDGG-GIN
EDGG-DKB|Langen Radar (Dinkelsbuehl) - Langen|EDGG_DKB|EDGG-DKB
EDGG-RUD|Langen Radar (Ruedesheim) - Langen|EDGG_RUD|EDGG-RUD
EDGG-KTG|Langen Radar (Kitzingen) - Langen|EDGG_KTG|EDGG-KTG
EDGG-HMM|Langen Radar (Hamm) - Langen|EDGG_HMM|EDGG-HMM
EDGG-PAH|Langen Radar (Pad High) - Langen|EDGG_PAH|EDGG-PAH
EDGG|Langen||EDGG
EDMM|Muenchen||EDMM
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_ZUG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_ALB|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_EGG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_FUE|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_NDG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_STA|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_TEG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_TRU|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_WLD|EDMM-ZUG
EDMM-RDG|Muenchen ACC (Roding) - Muenchen|EDMM_RDG|EDMM-RDG
EDMM-HOF|Muenchen ACC (Hof) - Muenchen|EDMM_HOF|EDMM-HOF
EDMM-HOF|Muenchen ACC (Hof) - Muenchen|EDMM_BBG|EDMM-HOF
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_GER|EDMM-GER
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_MEI|EDMM-GER
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_HAL|EDMM-GER
EDWW|Bremen||EDWW
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_F|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_B|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_K|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_M|EDWW-B
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_A|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_H|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_E|EDWW-A
EDWW-W|Bremen ACC (West) - Bremen|EDWW_W|EDWW-W
EDWW-S|Bremen ACC (Ems) - Bremen|EDWW_R|EDWW-S
EDWW-S|Bremen ACC (Ems) - Bremen|EDWW_S|EDWW-S
EDXX|Langen Information - FIS only|EDXX_FIS|EDXX
EETT|Tallinn||EETT
EFIN|Helsinki||EFIN
EGGX|Shanwick Oceanic|EGGX|EGGX
EGPX|Scottish|SCO|EGPX
EGPX-D|Scottish ACC (Deancross) - Scottish|SCO_D|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_W|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_E|EGPX-D
EGPX-E|Scottish ACC (East) - Scottish|SCO_E|EGPX-E
EGPX-N|Scottish ACC (North) - Scottish|SCO_N|EGPX-N
EGPX-S|Scottish ACC (South) - Scottish|SCO_S|EGPX-S
EGPX-S|Scottish ACC (Tay) - Scottish|SCL_TAY|EGPX-S
EGPX-WD|Scottish ACC (West/Deancross) - Scottish|SCO_WD|EGPX-WD
EGPX-W|Scottish ACC (West) - Scottish|SCO_W|EGPX-W
EGPX-W|Scottish ACC (Rathlin) - Scottish|SCO_R|EGPX-W
EGPX-A|Scottish TMA Antrim (Up to FL255) - Scottish|STC_A|EGPX-A
EGTL|London TMA (Up to FL195) - London|LTC|EGTL
EGTL-N|London TMA North (Up to FL155) - London|LTC_N|EGTL-N
EGTL-N|London TMA North (Up to FL155) - London|LTC_NE|EGTL-N
EGTL-N|London TMA North (Up to FL155) - London|LTC_NW|EGTL-N
EGTL-S|London TMA South (Up to FL195) - London|LTC_S|EGTL-S
EGTL-S|London TMA South (Up to FL195) - London|LTC_SE|EGTL-S
EGTL-S|London TMA South (Up to FL195) - London|LTC_SW|EGTL-S
EGTM|Manchester TMA (Up to FL285) - London|MAN|EGTM
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_W|EGTM-W
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_WP|EGTM-W
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_WI|EGTM-W
EGTM-NE|Manchester TMA North East (Up to FL285) - London|MAN_NE|EGTM-NE
EGTM-W|Manchester TMA South East (Up to FL195) - London|MAN_SE|EGTM-W
EGTT|London|LON|EGTT
EGTT-C|London ACC (Central) - London|LON_C|EGTT-C
EGTT-M|London ACC (Daventry) - London|LON_M|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_ME|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_ML|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_MW|EGTT-M
EGTT-M|London TMA Midlands (Up to FL225) - London|LTC_M|EGTT-M
EGTT-M|London TMA Midlands (Up to FL225) - London|LTC_MW|EGTT-M
EGTT-E|London ACC (Clacton) - London|LON_E|EGTT-E
EGTT-E|London ACC (Clacton) - London|LON_ES|EGTT-E
EGTT-E|London ACC (Clacton) - London|LON_EN|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_E|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_ES|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_ER|EGTT-E
EGTT-N|London ACC (North) - London|LON_N|EGTT-N
EGTT-NE|London ACC (North Sea) - London|LON_NE|EGTT-NE
