ADR_U|Adria Radar Upper|LJLA,LDZO,LQSB,LYBA,LWSS,LAAA
AFRN|North Africa Control|DAAA,DRRR,DTTC,FTTT,GMMM,HLLL
AFRC|Africa Central Control|FLFI,FNAN,FSSS,FWLL,FZZA,HKNA,HTDC,HUEC
AFRE|East Africa Control|HAAA,HCSM,HHAA,HSSS
AFRS|Africa South Control|FACA,FAJA,FBGR,FIMM,FMMM,FQBE,FVHF,FYWH
AFRW|Africa West Control|DGAC,DGAO,DIII,DNKK,FCCC,GLRB,GOOO,GOOC,GVSC
ASEA_N|South East Asia Control|VHHK,RPHI,VVHM,VTBB,VVHN,VLVT,VDPF
ASEA_S|South East Asia Control|WSJC,WMFC,WBFC,WIIF,WAAF
ASEA|South East Asia Control|VHHK,WSJC,WMFC,WBFC,WIIF,WAAF,RPHI,VVHM,VDPF,VTBB,VVHN,VLVT,VYYF
ASIA|West Asia Control|VABF,VIDF,VECF,VOMF,VEGF,OPKR,OPLR,OAKX,VCCF,VRMF,VGFR,VNSM
BALT|Baltic Control|EYVL,EVRR,EETT
BICC|Iceland Radio|BIRD-E,BIRD-N,BIRD-S,BIRD-W
CARI|Caribbean Control|MUFH,MKJK,MTEG,MDCS,TNCF,TJZS,TTZP
CARE|Caribbean Control East|MDCS,TJZS,TTZP
CARW|Caribbean Control West|MUFH,MKJK,MTEG,TNCF
ANT|Antilles Center|MDCS,MTEG
EURN|EuroNorth|EKDK,EETT,EFIN,EVRR,EYVL,ENBD,ENOS,ENSV,ESOS
EUC-EN|Eurocontrol|EPWW,LKAA,LZBB,LHCC
EUC-ES|Eurocontrol|LIPP,LJLA,LDZO,LQSB,LIBB,LIRR,LMMM
EUC-ME|Maastricht|EDWW-B,EDMM,EDGG-BAD,EDGG-DKB,EDGG-GIN,EDGG-RUD,LOVV
EUC-MW|Maastricht|EDGG-PAH,EDWW-A,EHAA,EBBU
EUC-SE|Eurocontrol|LTAA,LTBB,LCCC
EUC-SW|Eurocontrol|LRBB,LUUU,LBSR,LYBA,LGGG,LAAA,LWSS
EUC-WN|Eurocontrol|LFBB,LFEE,LFMM,LFRR,LIMM,LSAS
EUC-WS|Eurocontrol|LPPC,LECM,LECB,LECS
GULF|Gulf Control|OIIX,ORBB,OSTT,OEJD,OKAC,OBBB,OMAE,OYSC,OOMM,OJAC,OLBB,HECC,OTDF
GULF_E|Gulf Control|OBBB,OIIX,OKAC,OMAE,OOMM,ORBB,OTDF
GULF_W|Gulf Control|HECC,OEJD,OJAC,OLBB,OSTT,OYSC
LFUP|France Control|LFMM,LFFF,LFEE,LFBB,LFRR
LIUP|Italy Radar|LIMM,LIBB,LIRR,LIPP
PRC|Beijing Control|ZBPE,ZGZU,ZJSA,ZLHW,ZPKM,ZSHA,ZWUQ,ZYSH
RU-ERC|Eastern Russia Control|UEEE,UHHH,UHMM
RU-WRC|Western Russia Control|UMMV,UUWV,UWWW
RU-ESC|Siberia Control|UNKL,UNNT,UIII
RU-WSC|Western Siberia Control|USTV,USSV
RU-CEN|Asia-Center|UATT,UACN,UAAA,UTAK,UTAA,UTAT,UTAV,UTSD,UTTR,UAII,UCFO,UTDD,UCFM
RU-NWC|North Western Russia Control|ULLL,UMKK
RU-SC|Caucasus-Radar|URRV,UGGG,UDDD,UBBA
SAM-N|South America Control North|SEFG,SKED,SKEC,MPZL,MHCC,SVZM,SYGC,SMPM,SOOO
SAM-E|South America Control - East|SBCW,SBAZ,SBRE,SBBS
SAM-S|South America Control South|SUEO,SGFA,SAEF,SARR,SACF,SAMF,SAVF
SAM-W|South America Control West|SCEZ,SCTZ,SCCZ,SCFZ,SLLF,SPIM
